iter	Passed	Remaining
845	1459	265
846	1460	263
847	1462	262
848	1463	260
849	1465	258
850	1466	256
851	1467	254
852	1469	253
853	1470	251
854	1472	249
855	1473	247
856	1475	246
857	1476	244
858	1478	242
859	1479	240
860	1481	239
861	1482	237
862	1484	235
863	1485	233
864	1487	232
865	1488	230
866	1490	228
867	1491	226
868	1493	225
869	1494	223
870	1496	221
871	1497	219
872	1499	218
873	1501	216
874	1502	214
875	1504	212
876	1505	211
877	1507	209
878	1508	207
879	1510	205
880	1511	204
881	1513	202
882	1514	200
883	1515	198
884	1517	197
885	1518	195
886	1520	193
887	1521	191
888	1523	190
889	1524	188
890	1525	186
891	1527	184
892	1528	183
893	1530	181
894	1531	179
895	1533	177
896	1534	176
897	1535	174
898	1537	172
899	1538	170
900	1540	169
901	1541	167
902	1543	165
903	1544	164
904	1545	162
905	1547	160
906	1548	158
907	1550	157
908	1551	155
909	1553	153
910	1554	151
911	1555	150
912	1557	148
913	1558	146
914	1560	144
915	1561	143
916	1563	141
917	1564	139
918	1565	138
919	1567	136
920	1569	134
921	1570	132
922	1572	131
923	1573	129
924	1575	127
925	1576	125
926	1578	124
927	1579	122
928	1581	120
929	1582	119
930	1583	117
931	1585	115
932	1586	113
933	1588	112
934	1589	110
935	1591	108
936	1592	107
937	1593	105
938	1595	103
939	1596	101
940	1598	100
941	1600	98
942	1601	96
943	1602	95
944	1604	93
945	1605	91
946	1607	89
947	1608	88
948	1610	86
949	1611	84
950	1613	83
951	1614	81
952	1616	79
953	1617	78
954	1619	76
955	1620	74
956	1622	72
957	1623	71
958	1624	69
959	1626	67
960	1627	66
961	1629	64
962	1630	62
963	1632	60
964	1633	59
965	1634	57
966	1636	55
967	1637	54
968	1639	52
969	1640	50
970	1641	49
971	1643	47
972	1644	45
973	1646	43
974	1647	42
975	1649	40
976	1650	38
977	1652	37
978	1653	35
979	1655	33
980	1656	32
981	1657	30
982	1659	28
983	1660	27
984	1662	25
985	1663	23
986	1665	21
987	1666	20
988	1667	18
989	1669	16
990	1670	15
991	1672	13
992	1673	11
993	1675	10
994	1676	8
995	1678	6
996	1679	5
997	1681	3
998	1682	1
999	1684	0
